company,ticker
Aarti Industries Ltd.,AARTIIND
ACC Ltd.,ACC
Adani Enterprises Ltd.,ADANIENT
Adani Ports & Special Economic Zone Ltd.,ADANIPORTS
Alembic Pharmaceuticals Ltd.,APLLTD
Alkem Laboratories Ltd.,ALKEM
Amara Raja Batteries Ltd.,AMARAJABAT
Ambuja Cements Ltd.,AMBUJACEM
Apollo Hospitals Enterprises Ltd.,APOLLOHOSP
Apollo Tyres Ltd.,APOLLOTYRE
Ashok Leyland Ltd.,ASHOKLEY
Asian Paints Ltd.,ASIANPAINT
Au Small Finance Bank Ltd.,AUBANK
Aurobindo Pharma Ltd.,AUROPHARMA
Axis Bank Ltd.,AXISBANK
Bajaj Auto Ltd.,BAJAJ-AUTO
Bajaj Finance,BAJFINANCE
Bajaj Finserv Ltd.,BAJAJFINSV
Balkrishna Industries Ltd.,BALKRISIND
Bandhan Bank Ltd.,BANDHANBNK
BANK NIFTY,BANK NIFTY
Bank of Baroda,BANKBARODA
Bata India Ltd.,BATAINDIA
Berger Paints India Ltd.,BERGEPAINT
Bharat Electronics Ltd.,BEL
Bharat Forge Ltd.,BHARATFORG
Bharat Heavy Electricals Ltd.,BHEL
Bharat Petroleum Corporation Ltd.,BPCL
Bharti Airtel Ltd.,BHARTIARTL
Biocon Ltd.,BIOCON
Bosch Ltd.,BOSCHLTD
Britannia Industries Ltd.,BRITANNIA
Cadila Healthcare Ltd.,CADILAHC
Canara Bank,CANBK
Cholamandalam Investment and Finance Company,CHOLAFIN
Cipla Ltd.,CIPLA
City Union Bank Ltd.,CUB
Coal India Ltd,COALINDIA
Coforge Ltd.,COFORGE
Colgate Palmolive (India) Ltd.,COLPAL
Container Corporation of India Ltd.,CONCOR
Cummins India Ltd.,CUMMINSIND
Dabur India Ltd.,DABUR
Deepak Nitrite,DEEPAKNTR
Divi's Laboratories Ltd.,DIVISLAB
DLF Ltd.,DLF
Dr. Lal Pathlabs Ltd.,LALPATHLAB
Dr. Reddy's Laboratories Ltd.,DRREDDY
Eicher Motors Ltd.,EICHERMOT
Escorts Ltd.,ESCORTS
Exide Industries Ltd.,EXIDEIND
Federal Bank Ltd.,FEDERALBNK
GAIL (India) Ltd.,GAIL
Glenmark Pharmaceuticals Ltd.,GLENMARK
GMR Infrastructure Ltd.,GMRINFRA
Godrej Consumer Products Ltd.,GODREJCP
Godrej Properties Ltd.,GODREJPROP
Granules India,GRANULES
Grasim Industries Ltd.,GRASIM
 Gujarat Gas Co. Ltd.,GUJGASLTD
Havell's India Ltd.,HAVELLS
HCL Technologies Ltd.,HCLTECH
HDFC Asset Management Company Ltd.,HDFCAMC
HDFC Bank Ltd.,HDFCBANK
HDFC Life Insurance Company Ltd.,HDFCLIFE
Hero MotoCorp Ltd.,HEROMOTOCO
Hindalco Industries Ltd.,HINDALCO
Hindustan Petroleum Corporation Ltd.,HINDPETRO
Hindustan Unilever Ltd.,HINDUNILVR
Housing Development Finance Corporation Ltd.,HDFC
I T C Ltd.,ITC
ICICI Bank Ltd.,ICICIBANK
ICICI Lombard General Insurance Company Ltd.,ICICIGI
ICICI Prudential Life Insurance Company,ICICIPRULI
IDFC First Bank Ltd.,IDFCFIRSTB
Indiabulls Housing Finance,IBULHSGFIN
Indian Oil Corporation Ltd.,IOC
Indian Railway Catering & Tourism Corp Ltd.,IRCTC
Indraprastha Gas Ltd.,IGL
Indus Towers Ltd.,INDUSTOWER
IndusInd Bank Ltd.,INDUSINDBK
Info Edge (India) Ltd.,NAUKRI
Infosys Ltd.,INFY
Interglobe Aviation,INDIGO
Jindal Steel & Power Ltd.,JINDALSTEL
JSW Steel Ltd.,JSWSTEEL
Jubliant Foodworks Limited,JUBLFOOD
Kotak Mahindra Bank Ltd.,KOTAKBANK
L&T Finance Holdings Ltd.,L & TFH
L&T Technology Services,LTTS
Larsen & Toubro Infotech,LTI
Larsen & Toubro Ltd.,LT
LIC Housing Finance Ltd.,LICHSGFIN
Lupin Ltd.,LUPIN
Mahanagar Gas Ltd,MGL
Mahindra & Mahindra Financial Services Ltd.,M & MFIN
Mahindra & Mahindra Ltd.,M&M
Manappuram Finance Limited,MANAPPURAM
Marico Ltd.,MARICO
Maruti Suzuki India Ltd.,MARUTI
Max Financial Services Ltd.,MFSL
MindTree Ltd.,MINDTREE
Motherson Sumi Systems Ltd.,MOTHERSUMI
MphasiS Ltd.,MPHASIS
MRF Ltd.,MRF
Muthoot Finance,MUTHOOTFIN
National Aluminium Co. Ltd.,NATIONALUM
